category,period,amount,vendor,notes
IT & Software,Q3 2026,3600,DevTools Malaysia Sdn Bhd,Developer license renewal
IT & Software,Q4 2026,13800,CloudTech Solutions Sdn Bhd,Monthly SaaS subscription
IT & Software,Q4 2026,3550,DevTools Malaysia Sdn Bhd,Developer license renewal
IT & Software,Q4 2026,9800,SecureNet Systems Sdn Bhd,Endpoint security licenses
Professional Services,Q1 2026,18000,Lim & Partners Consulting Sdn Bhd,Strategy advisory retainer
Professional Services,Q1 2026,9500,Precision Audit Services Sdn Bhd,Quarterly review
Professional Services,Q2 2026,19500,Lim & Partners Consulting Sdn Bhd,Strategy advisory retainer
Professional Services,Q2 2026,9800,Precision Audit Services Sdn Bhd,Quarterly review
Professional Services,Q3 2026,20200,Lim & Partners Consulting Sdn Bhd,Strategy advisory retainer
Professional Services,Q3 2026,10100,Precision Audit Services Sdn Bhd,Quarterly review
Professional Services,Q3 2026,6200,TaxWise Advisors Sdn Bhd,Corporate tax filing support
Professional Services,Q4 2026,21000,Lim & Partners Consulting Sdn Bhd,Strategy advisory retainer
Professional Services,Q4 2026,24500,Precision Audit Services Sdn Bhd,Year-end statutory audit
Utilities,Q1 2026,6800,Tenaga Power Distribution Sdn Bhd,Office electricity
Utilities,Q1 2026,1200,AquaFlow Water Services Sdn Bhd,Office water supply
Utilities,Q1 2026,890,Telco Broadband Solutions Sdn Bhd,Office internet line
Utilities,Q2 2026,7100,Tenaga Power Distribution Sdn Bhd,Office electricity
Utilities,Q2 2026,1250,AquaFlow Water Services Sdn Bhd,Office water supply
Utilities,Q3 2026,7400,Tenaga Power Distribution Sdn Bhd,Office electricity
Utilities,Q3 2026,1300,AquaFlow Water Services Sdn Bhd,Office water supply
Utilities,Q4 2026,7600,Tenaga Power Distribution Sdn Bhd,Office electricity
Utilities,Q4 2026,1280,AquaFlow Water Services Sdn Bhd,Office water supply
Payroll & Benefits,Q1 2026,145000,PayStream HR Services Sdn Bhd,Monthly payroll processing
Payroll & Benefits,Q2 2026,148000,PayStream HR Services Sdn Bhd,Monthly payroll processing
Payroll & Benefits,Q2 2026,5200,PayStream HR Services Sdn Bhd,Recruitment placement fee
Payroll & Benefits,Q3 2026,151000,PayStream HR Services Sdn Bhd,Monthly payroll processing
Payroll & Benefits,Q4 2026,156000,PayStream HR Services Sdn Bhd,Monthly payroll processing
Payroll & Benefits,Q4 2026,12500,PayStream HR Services Sdn Bhd,Year-end performance bonus pool
Rent & Facilities,Q1 2026,22000,Menara Height Properties Sdn Bhd,Office lease
Rent & Facilities,Q1 2026,2900,FacilityCare Maintenance Sdn Bhd,Quarterly maintenance contract
Rent & Facilities,Q2 2026,22000,Menara Height Properties Sdn Bhd,Office lease
Rent & Facilities,Q3 2026,22000,Menara Height Properties Sdn Bhd,Office lease
Rent & Facilities,Q3 2026,3100,FacilityCare Maintenance Sdn Bhd,Quarterly maintenance contract
Rent & Facilities,Q4 2026,22500,Menara Height Properties Sdn Bhd,Office lease renewal
Rent & Facilities,Q4 2026,3200,FacilityCare Maintenance Sdn Bhd,Quarterly maintenance contract
Equipment & Maintenance,Q1 2026,5600,OfficeTech Equipment Sdn Bhd,Printer and peripherals
Equipment & Maintenance,Q1 2026,1100,QuickFix Repairs Sdn Bhd,General repairs
Equipment & Maintenance,Q2 2026,4200,OfficeTech Equipment Sdn Bhd,Printer and peripherals
Equipment & Maintenance,Q2 2026,950,QuickFix Repairs Sdn Bhd,General repairs
Equipment & Maintenance,Q3 2026,6100,OfficeTech Equipment Sdn Bhd,Printer and peripherals
Equipment & Maintenance,Q3 2026,1300,QuickFix Repairs Sdn Bhd,General repairs
Equipment & Maintenance,Q3 2026,2200,TechSupply Wholesale Sdn Bhd,Replacement monitors
Equipment & Maintenance,Q4 2026,15200,OfficeTech Equipment Sdn Bhd,Settled via account 5123456789
Equipment & Maintenance,Q4 2026,1050,QuickFix Repairs Sdn Bhd,General repairs
Training & Development,Q1 2026,4200,SkillUp Academy Sdn Bhd,Staff certification courses
Training & Development,Q1 2026,2600,LeaderEdge Training Sdn Bhd,Management workshop series
Training & Development,Q2 2026,3800,SkillUp Academy Sdn Bhd,Staff certification courses
Training & Development,Q2 2026,2900,LeaderEdge Training Sdn Bhd,Management workshop series
Training & Development,Q3 2026,4500,SkillUp Academy Sdn Bhd,Staff certification courses
Training & Development,Q3 2026,3100,LeaderEdge Training Sdn Bhd,Management workshop series
Training & Development,Q4 2026,4700,SkillUp Academy Sdn Bhd,Email queries to finance@rentapfinserve.com.my
Training & Development,Q4 2026,3300,LeaderEdge Training Sdn Bhd,Management workshop series
Insurance,Q1 2026,3200,Guardian Insurance Bhd,Annual policy — quarterly instalment
Insurance,Q2 2026,3200,Guardian Insurance Bhd,Annual policy — quarterly instalment
Insurance,Q3 2026,3350,Guardian Insurance Bhd,Annual policy — quarterly instalment
Insurance,Q4 2026,3350,Guardian Insurance Bhd,IC: 900101-14-5523
Bank Charges & Fees,Q1 2026,320,Maybank Corporate Sdn Bhd,Monthly account fees
Bank Charges & Fees,Q2 2026,340,Maybank Corporate Sdn Bhd,Monthly account fees
Bank Charges & Fees,Q3 2026,310,Maybank Corporate Sdn Bhd,Monthly account fees
Bank Charges & Fees,Q4 2026,355,Maybank Corporate Sdn Bhd,Monthly account fees
Professional Services,Q2 2026,4800,Lim & Partners Consulting Sdn Bhd,Contract review — one-off
Marketing,Q1 2026,6100,Digital Reach Media Sdn Bhd,Trade show booth design
